epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3124,1.56299,3.52853,1.78477,0.00646,0.64103,0.2647,0.16827,1.33048,3.57535,1.61187,0.000404762,0.000404762,0.000404762
2,22.1109,1.51928,2.6523,1.69318,0.64971,0.23333,0.27908,0.12027,1.88083,3.21844,1.98295,0.000813296,0.000813296,0.000813296
3,32.6669,1.51474,2.43344,1.69666,0.58396,0.16325,0.18596,0.0831,2.0706,4.37609,2.46476,0.00121358,0.00121358,0.00121358
4,43.2329,1.56336,2.28945,1.70579,0.32881,0.47923,0.38,0.11809,2.27867,3.25877,2.64193,0.00121287,0.00121287,0.00121287
5,53.9186,1.5284,2.17234,1.70172,0.2947,0.61688,0.49291,0.24787,1.91399,3.68446,2.28623,0.0012005,0.0012005,0.0012005
6,64.9402,1.52005,2.10405,1.68125,0.34032,0.53441,0.37973,0.17595,2.65193,4.87689,3.78781,0.00118812,0.00118812,0.00118812
7,76.2056,1.48622,1.98118,1.64814,0.33662,0.65915,0.43946,0.25727,2.00822,2.84827,2.35749,0.00117575,0.00117575,0.00117575
8,87.499,1.49157,1.83253,1.65177,0.69137,0.71752,0.70259,0.38626,1.76615,1.63242,2.0807,0.00116337,0.00116337,0.00116337
9,99.2964,1.48218,1.74172,1.60453,0.57532,0.67172,0.65311,0.34828,1.60143,2.1124,2.02405,0.001151,0.001151,0.001151
10,111.065,1.43022,1.68123,1.59988,0.63631,0.4906,0.53608,0.29734,1.98639,2.33366,2.44598,0.00113863,0.00113863,0.00113863
11,123.065,1.37502,1.56366,1.52894,0.62968,0.67692,0.71157,0.4389,1.62926,1.74425,1.84072,0.00112625,0.00112625,0.00112625
12,135.218,1.37844,1.56984,1.54391,0.55671,0.58153,0.59805,0.32432,1.70702,2.05846,1.92062,0.00111388,0.00111388,0.00111388
